targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z
39633416961919140,0.02725111380190855,6.923898899519374e-05,GALAXY,269.1433689635514,62.58184054121426,14.073401,25.74177,38.721497
39633416961919140,0.02701399255147483,6.405260899827109e-05,GALAXY,269.1433689635514,62.58184054121426,14.073401,25.74177,38.721497
39633416957726512,0.02647803349651618,4.894353082619448e-05,GALAXY,268.786161790306,62.46261218088592,13.558773,26.724113,34.72693
39633416949337729,0.02792670299698887,1.498786155782933e-05,GALAXY,267.7505476123461,62.41474873794279,13.12219,17.591629,15.874516
39633411282831350,0.02680378321399607,3.605648367251524e-06,GALAXY,264.4642441535382,61.95882052031502,14.172892,22.811872,30.054174
39633414113988449,0.02683551564592349,5.889624382223386e-06,GALAXY,264.3688782659769,62.28617246854414,13.214951,17.715189,18.887398
39633375450892388,0.0277047988142308,7.33421561890407e-05,GALAXY,261.8312480626447,58.90375144057772,15.623375,30.306288,43.703823
39633387761174166,0.02797858571124023,5.978303752574019e-06,GALAXY,262.22826924676,60.0198452853867,14.669195,26.162727,37.295662
39633390781073700,0.02001342844410843,3.62466485128762e-06,GALAXY,262.4931699938301,60.3562161313947,13.148583,17.546337,12.047111
39633329498096104,0.02669999978324775,1.362619789761815e-05,GALAXY,253.7959435133661,55.60634934217552,13.167978,19.956856,25.203493
39633378500153418,0.02034534326012676,3.523285666180661e-06,GALAXY,254.8890451673491,59.23495490038762,13.382837,19.359072,22.828314
39633411211528800,0.02763092855099163,5.571010511589063e-05,GALAXY,255.5203283897305,61.95147691511289,14.880896,22.798342,29.09733
39633416857060508,0.01995929644358363,2.49362700576631e-05,GALAXY,255.584366125056,62.44792304929156,13.05118,23.357143,28.090334
39633200552608937,0.02143096873814418,6.147074925195778e-06,GALAXY,238.5246985084786,46.96093322378505,14.946433,20.515886,24.259853
39633427963579127,0.02762273538892645,1.639149639535611e-06,GALAXY,267.8538654219992,63.5022646775288,14.044966,23.405426,33.22933
39633446330434044,0.02521011560313039,5.742364730781214e-05,GALAXY,269.1761607019649,65.19169447448328,13.818306,27.276821,37.644524
39633448855405971,0.02703448468851413,3.528500036782164e-06,GALAXY,268.7251589521435,65.60659467723714,14.023081,24.934359,37.248245
39633448855405971,0.02705620763162531,3.08061451207544e-06,GALAXY,268.7251589521435,65.60659467723714,14.023081,24.934359,37.248245
39633451334241140,0.02743034107453947,3.591015880401543e-06,GALAXY,265.0301298906638,65.81001711221599,14.256269,20.261576,26.027134
39633470510597304,0.02640296324502208,4.225164540707561e-06,GALAXY,268.5443215324735,67.75780794382304,15.12138,19.800901,22.743876
39633468191146770,0.02540713804422059,2.542323272157627e-05,GALAXY,267.1906482167494,67.38225107944531,14.355134,22.177002,28.519522
39633479507379913,0.02045434048824881,1.083048731288506e-05,GALAXY,267.9432778115137,68.63689176704396,13.513177,20.0065,24.356323
39633485995968170,0.02513209696599818,1.054191024203199e-06,GALAXY,268.150782782197,69.37630936302435,14.979859,24.325083,31.42789
39633470498013952,0.02637338330070826,6.141935791022587e-05,GALAXY,266.5187754760241,67.85899443423502,13.629976,27.229563,43.673897
39633463493528680,0.02451136616765068,3.846636600172675e-06,GALAXY,265.7004343685444,66.8851320770852,13.485375,20.277958,25.276983
39633472767134211,0.02600513712749351,6.436105546985869e-05,GALAXY,263.8940125712977,67.92268553725417,13.245113,25.773918,36.97148
39633477267622470,0.02462422966338335,6.381238337874936e-06,GALAXY,263.6115877695371,68.39467049648997,15.647353,26.380205,35.631126
39633453783713761,0.02540949141819041,1.865407917840317e-06,GALAXY,260.1624137147221,66.0525026732221,13.578792,16.914541,18.018227
39633422427098324,0.02657075517168142,1.014902155509522e-05,GALAXY,257.6041302697711,62.99578289644957,15.212116,19.616945,20.678055
39633425170170329,0.02749639469148785,1.817697688204401e-06,GALAXY,257.3650582573277,63.25730209364944,13.701764,18.128618,20.962173
39633486000163626,0.02703252827878901,3.813810792111403e-05,GALAXY,269.0012520330661,69.61239418735471,13.777806,19.824337,23.832293
39633504094391690,0.02514809943503039,4.346245070510081e-05,GALAXY,267.8965395333316,71.8682625611263,15.520015,30.63647,44.35751
39633507831515746,0.02419562701870532,4.489655224806727e-05,GALAXY,266.0808537577418,72.3585624651691,14.642965,28.924166,46.146355
