targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z,tile_name,tile_ra,tile_dec
39633402709672057,0.027281282,3.293673667994353e-06,GALAXY,272.5962513775763,61.36626065022084,13.389307,25.361319,34.202026,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633405607938472,0.027138058,8.805460341481807e-06,GALAXY,272.5895469836584,61.46387751634324,14.43803,23.970963,33.04434,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633405607938472,0.027138223,1.170380978183897e-05,GALAXY,272.5895469836584,61.46387751634324,14.43803,23.970963,33.04434,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633408489424715,0.027691926,7.849360253175197e-05,GALAXY,272.5386186274588,61.82582071,13.942669,27.657185,42.894398,CFIS_LSB.256.304.r,272.6469719282576,62
39633408489424715,0.027573711,4.893435741554478e-05,GALAXY,272.5386186274588,61.82582071,13.942669,27.657185,42.894398,CFIS_LSB.256.304.r,272.6469719282576,62
39633405603743549,0.026427737,4.300673668529578e-06,GALAXY,272.0018459010001,61.57320350824703,13.356807,21.554111,26.69986,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633405603743549,0.026434462,4.968417597618266e-06,GALAXY,272.0018459010001,61.57320350824703,13.356807,21.554111,26.69986,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633408481035819,0.027181759,9.20041758690738e-05,GALAXY,271.5079430832334,61.74092637421546,14.109794,29.27579,46.80036,CFIS_LSB.259.303.r,271.39813995983803,61.5
39633408481035359,0.02550465,1.243911942010129e-05,GALAXY,271.4517942382222,61.81451926614078,15.908502,27.89336,40.139652,CFIS_LSB.255.304.r,271.5819446941628,62
39633408476842553,0.02734947,1.185817465135605e-05,GALAXY,271.0744076721902,61.80657726,15.707361,24.949919,16.126522,CFIS_LSB.255.304.r,271.5819446941628,62
39633414164316333,0.027938213,2.303158756546236e-05,GALAXY,270.2891962,62.24201502797955,13.378214,18.929274,20.918062,CFIS_LSB.254.304.r,270.51691746006804,62
39633414164316333,0.027945574,1.627566271247003e-05,GALAXY,270.2891962,62.24201502797955,13.378214,18.929274,20.918062,CFIS_LSB.254.304.r,270.51691746006804,62
39633428131351799,0.0253194,1.173563543169996e-05,GALAXY,290.1242343,63.60066551683504,13.933094,19.02875,22.212132,No tile found,,
39633433458114748,0.023735998,5.530698315603663e-06,GALAXY,285.3018828335134,63.92249451264323,14.693455,23.885902,32.78635,No tile found,,
39633481835220443,0.018115795,1.634692237016943e-05,GALAXY,291.3387987596319,69.10328000468033,13.759297,22.319012,28.147799,No tile found,,
39633430773764586,0.026721263,3.099224845889357e-06,GALAXY,284.0010331625136,63.86268939,14.06497,22.643047,30.580896,No tile found,,
39633443847408612,0.025903711,7.147336258074305e-06,GALAXY,278.6001642709856,65.00901240897855,14.516562,21.107082,26.065168,CFIS_LSB.235.310.r,278.02868602041855,65
39633448930903452,0.025544427,3.881146660117417e-06,GALAXY,279.4972361,65.50986646993192,15.766217,23.443045,29.21381,CFIS_LSB.232.311.r,279.72483770650325,65.5
39633453955681125,0.026110035,1.943293298409258e-06,GALAXY,285.3346702022791,66.07438682632653,13.728502,18.323784,16.832207,No tile found,,
39633430702460641,0.024224303,3.987849625669073e-05,GALAXY,274.4571039003217,63.65839012018213,14.594128,24.937426,32.17129,CFIS_LSB.245.307.r,274.5419103384375,63.5
39633446376573489,0.023069293,4.745369590523795e-06,GALAXY,276.0027894072302,65.29250274,13.612563,17.952888,14.147151,CFIS_LSB.229.311.r,276.1077061844364,65.5
39633433344871392,0.026035828,7.304944944456353e-06,GALAXY,270.3568918926809,64.00295514,14.993961,26.275154,35.89906,CFIS_LSB.237.308.r,270.3188858755258,64
39633453867600514,0.025678604,1.685776206987877e-05,GALAXY,272.5102966429034,65.95692366,14.915584,20.626036,23.451159,CFIS_LSB.222.312.r,272.90386024874044,66
